date,temp_class,stp_class,hmdy_class,prcp_class,wdct_class,wdsp_class,state
2020-09-27,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-09-28,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-09-29,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-09-30,<25,<980,>75,<0.1,S,<5,Haze
2020-10-01,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-02,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-10-03,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-10-04,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-10-05,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-06,<25,<980,>75,<0.1,E,<5,Haze
2020-10-07,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-10-08,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-09,<25,<980,50 to 75,0.1 to 1,E,<5,Rain
2020-10-10,<25,<980,50 to 75,0.1 to 1,E,<5,Rain
2020-10-11,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-12,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-13,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-14,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-15,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-16,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-17,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-18,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-19,<25,<980,>75,0.1 to 1,S,<5,Rain
2020-10-20,<25,<980,>75,1 to 10,E,<5,Rain
2020-10-21,<25,<980,>75,<0.1,E,<5,Haze
2020-10-22,<25,<980,>75,0.1 to 1,E,<5,Rain
2020-10-23,<25,<980,>75,<0.1,E,<5,Haze
2020-10-24,<25,<980,50 to 75,0.1 to 1,E,<5,Rain
2020-10-25,<25,<980,50 to 75,0.1 to 1,E,<5,Rain
2020-10-26,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-27,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-28,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-10-29,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-30,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-10-31,25 to 30,<980,>75,0.1 to 1,E,<5,Rain
2020-11-01,25 to 30,<980,>75,0.1 to 1,E,<5,Rain
2020-11-02,30 to 35,<980,50 to 75,1 to 10,E,<5,Heatwave
